ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
MGd6HFEq1ALD58XWNviSXw,Time Out Market New York,lunch,(917) 810-4855,"55 Water St, Brooklyn, NY 11201",$$,4.0,406,american
S3ZAZrpakAUs8sVUb6ving,Little Kirin,lunch,(646) 398-9733,"81 St Marks Pl, New York, NY 10003",$$,5.0,60,american
ysqgdbSrezXgVwER2kQWKA,Juliana's,lunch,(718) 596-6700,"19 Old Fulton St, Brooklyn, NY 11201",$$,4.5,2537,american
WUc3CA6S8OjH3kiqv3eFOA,Sobak,lunch,,"51B Canal St, New York, NY 10002",$$,5.0,12,american
q11TljTQd33XCWlVoPyRqg,The Osprey,lunch,(347) 696-2505,"60 Furman St, Brooklyn, NY 11201",$$,4.0,277,american
HUKn7SlSjYtemmPiGLnD2w,Rice Kitchen,lunch,(646) 609-2970,"204 Spring St, New York, NY 10012",$$,5.0,137,american
SWK0AQ5KTDDCt8AtOhhasg,Malibu Farm New York,lunch,(212) 265-3030,"89 South St, New York, NY 10038",$$,4.0,306,american
OL2su47yPDPZyvzY8IRk9A,Holy Pita,lunch,(929) 298-0024,"10 Clermont Ave, Brooklyn, NY 11205",,5.0,81,american
4aF0F8w7yXX9o5_QFky_ig,Celestine,lunch,(718) 522-5356,"1 John St, Brooklyn, NY 11201",$$$,4.0,266,american
iufQFxf-g1j-5lC6GRTiog,The Migrant Kitchen - Brooklyn,lunch,(917) 747-5601,"55 Water St, Brooklyn, NY 11201",,4.5,49,american
p-9OnMXfvPzpHD1iNPJBrQ,Slutty Vegan,lunch,(855) 439-7588,"690 Fulton St, Brooklyn, NY 11217",$$,4.5,20,american
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,lunch,(212) 510-8550,"226 Lafayette St, New York, NY 10012",$$,4.0,2213,american
9AXTJkwXdWaJaQkCjpj6mA,Sunday in Brooklyn,lunch,(347) 222-6722,"348 Wythe Ave, Brooklyn, NY 11249",$$,4.0,1139,american
fMf4P22m65creknIICuaXA,Kuun,lunch,(917) 909-1466,"290 Livingston St, Brooklyn, NY 11217",,4.5,178,american
Zc7Jbuwe3XO-EaVXIh_TYQ,Banter,lunch,,"169 Sullivan St, New York, NY 10012",$$,4.5,602,american
3UdlrH-tuVM0vy3ySh7bUw,Jacob's Pickles Time Out Market,lunch,(212) 470-5566,"55 Water St, Brooklyn, NY 11201",$$,4.5,80,american
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,lunch,(332) 215-6161,"409 W 15th St, New York, NY 10011",$$,4.5,1258,american
9QK3vhI04Q8ylqk49C3JcQ,Rule of Thirds,lunch,(347) 334-6684,"171 Banker St, Brooklyn, NY 11222",,4.0,339,american
GyOMZgEV1mv0AI4FqWT8sQ,Agi's Counter,lunch,(718) 822-7833,"818 Franklin Ave, Brooklyn, NY 11225",,4.5,41,american
OQbccovdHgjenH-sJIbFPw,Clover Hill,lunch,(347) 457-6850,"20 Columbia Pl, Brooklyn, NY 11201",,4.5,26,american
sCNZGN2Zh1T5hht728hV5Q,Ursula BK,lunch,,"724 Sterling Pl, Brooklyn, NY 11216",$$,4.5,98,american
d4wV5hj9ByaFuT3XrtrGpw,Urbanspace,lunch,,"100 Pearl St, New York, NY 10004",,4.5,5,american
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,lunch,(646) 850-6140,"65 Bayard St, New York, NY 10013",$,4.0,579,american
JFrtwkpSPDM3IbXVzoAvcw,Textbook,lunch,,"118 DeKalb Ave, Brooklyn, NY 11217",,4.5,12,american
vZevXSC1w27dEvXc2EHCEg,Good Thanks Cafe,lunch,(646) 370-4426,"131A Orchard St, New York, NY 10002",$$,4.5,337,american
opA6T-cCCdBmixRs_3Q3Lw,Calyer,lunch,(718) 576-3086,"519 Myrtle Ave, Brooklyn, NY 11205",,5.0,43,american
jjJc_CrkB2HodEinB6cWww,LoveMama,lunch,(212) 254-5370,"174 2nd Ave, New York, NY 10003",$$,4.5,6180,american
-2UtjTxrt1Xzd-HPsLJ7mA,Butler,lunch,,"40 Water St, Brooklyn, NY 11201",$$,4.0,169,american
Vbmv3T7hr_owVic5BQXs5w,Din Soup Dumplings,lunch,(718) 550-3888,"162 Montague St, Brooklyn, NY 11201",$$,4.5,110,american
uoT2_Wrt1noD6kZOID7tUg,Jane Restaurant,lunch,(212) 254-7000,"100 W Houston St, New York, NY 10012",$$,4.0,3420,american
48nRODGl30EWpYMcCTOeAw,Ingas Bar,lunch,(917) 909-1177,"66 Hicks St, Brooklyn, NY 11201",,4.5,16,american
RrNe_0PReWHXAnjTEXBikQ,Luke's Lobster Brooklyn Bridge Park,lunch,(917) 882-7516,"11 Water St, Brooklyn, NY 11201",$$,4.0,387,american
8bIXIStb1SVu1sXYfcMH5g,Ruby's Cafe,lunch,(646) 998-4265,"198 E 11th St, New York, NY 10003",$$,4.5,288,american
gHdejB1Mx2P5UjAgZ6BT2w,Cheeky Sandwiches,lunch,(646) 504-8132,"35 Orchard St, New York, NY 10002",$,4.5,1322,american
KiXm1maUAxSKhBG4KKiKlA,PALPAL,lunch,(646) 649-4131,"128 Madison Ave, New York, NY 10016",,4.5,67,american
r2JVKalbucGf2nryywuL2w,Kopitiam,lunch,(646) 609-3785,"151 E Broadway, New York, NY 10002",$$,4.0,888,american
q9VwJbrN0fGdm4L0oP2X8w,S&P,lunch,,"174 5th Ave, New York, NY 10010",,5.0,9,american
