ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
8YWLuLUKj0t_0_Xv06UUtw,Ye's Apothecary,dinner,,"119 Orchard St, New York, NY 10002",,4.5,91,chinese
4DInnPhOyvXFbYpUdO0SMQ,Antidote,dinner,(718) 782-2585,"66 S 2nd St, Brooklyn, NY 11249",$$,5.0,220,chinese
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,dinner,(212) 791-1817,"1 Doyers St, New York, NY 10013",$$,4.0,1762,chinese
AyL0Q6_hFD04GLxwRxOFrA,Pecking House,dinner,(718) 454-9230,"244 Flatbush Ave, Brooklyn, NY 11217",,4.5,20,chinese
h0pRCiJDrCN7tm3VX5tILQ,CHILI,dinner,(646) 882-0666,"13 E 37th St, New York, NY 10016",$$,4.5,496,chinese
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,dinner,(212) 213-2299,"40 W 56th St, New York, NY 10019",,4.5,616,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,dinner,(212) 233-8888,"46 Bowery St, New York, NY 10013",$$,4.0,6896,chinese
C3tP0fNNAoxOAC3O406CXQ,Le Sia,dinner,(646) 559-5220,"651 9th Ave, New York, NY 10036",$$$,4.5,114,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,dinner,(212) 334-3669,"199 Grand St, New York, NY 10013",$$,4.0,2272,chinese
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,dinner,(646) 850-6140,"65 Bayard St, New York, NY 10013",$,4.0,579,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,dinner,(917) 261-5963,"152 2nd Ave, Ste A, New York, NY 10003",$$$,4.5,730,chinese
L9SuMN3UsGipopWOe3pr9w,Chiko,dinner,(917) 909-0580,"954 Manhattan Ave, Brooklyn, NY 11222",,4.5,49,chinese
gNGxh97n0NZgYG1Q_no9Kg,Potluck Club,dinner,,"133 Chrystie St, New York, NY 10002",,4.5,74,chinese
sRWRA4dcN_NR1JGpuRVouA,Nan Xiang Xiao Long Bao - Manhattan,dinner,(212) 970-3888,"24 W 33rd St, New York, NY 10001",$$,4.0,53,chinese
E_Rxnmim6J2ECFtU0QGlsQ,Uncle Lou,dinner,(212) 966-5538,"73 Mulberry St, New York, NY 10013",$$,4.0,223,chinese
k0fnJRSV8tzM2bzkvFdlGg,Bonnie's,dinner,(914) 875-3709,"398 Manhattan Ave, Brooklyn, NY 11211",,3.5,75,chinese
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,dinner,(212) 233-0788,"13 Mott St, New York, NY 10013",$$,4.0,1302,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,dinner,(212) 837-1021,"181 Bleecker St, New York, NY 10012",$$,4.5,548,chinese
UK1oGbr8GU2rufpnJR4-HQ,Joe's Home of Soup Dumplings,dinner,(212) 333-3868,"7 E 48th St, between Fifth and Madison avenues, New York, NY 10017",$$,4.5,310,chinese
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,dinner,(646) 882-0059,"343 W 14th St, New York, NY 10014",$$,4.5,546,chinese
xLJnT-pB4VECJzmUf1Whpg,3 Times,dinner,(646) 609-6324,"90 Clinton St, New York, NY 10002",$$,4.0,202,chinese
wqdFd3DZD_uTXRW784mFkg,A-Pou's Taste,dinner,(718) 388-3038,"963 Grand St, Brooklyn, NY 11211",$,4.5,92,chinese
wdGMVLUzocmnl2tST0lheg,YunShang Rice Noodle House,dinner,(646) 998-5223,"53 Bayard St, New York, NY 10013",$$,4.0,286,chinese
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,dinner,(332) 215-6161,"409 W 15th St, New York, NY 10011",$$,4.5,1257,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,dinner,(212) 414-4104,"461 W 23rd St, New York, NY 10011",$$,4.5,953,chinese
rpIMYwZhRJZKl0-AUgUrjw,The Orchard Room,dinner,(646) 720-9791,"120 Orchard St, New York, NY 10002",,4.5,16,chinese
qGA7hdPSuwXVkum548WEWA,Dimmer & Summer,dinner,(929) 295-9999,"196 Smith St, Brooklyn, NY 11201",,4.5,30,chinese
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,dinner,(718) 360-1908,"145 Borinquen Pl, Brooklyn, NY 11211",$$,4.0,208,chinese
gDCK63W5_8-tdCCWr92rbw,Shan,dinner,(347) 294-4660,"191 Smith St, Brooklyn, NY 11201",,4.5,43,chinese
2UmeXoBQ6zRNn0Zv_VcAjw,JiangNan 江南食府,dinner,(718) 353-8855,"133-42 39th Ave, Ste 101, Flushing, NY 11354",,4.5,271,chinese
83zDAk03lFXkgImgkLhT9w,Chi Restaurant & Bar,dinner,(212) 918-1470,"492 9th Ave, New York, NY 10018",,4.0,7,chinese
U74_3F7r3tMhd6dmTmDBxQ,Macao Trading Company,dinner,(212) 431-8642,"311 Church St, New York, NY 10013",$$$,4.0,819,chinese
4npQPrRezdLIkKWMdXpjFA,The Monkey King,dinner,(929) 489-3800,"1329 Willoughby Ave, Brooklyn, NY 11237",$$,5.0,36,chinese
0GftSP2dRwEzujkv2VKIgA,Wok Wok Southeast Asian Kitchen,dinner,(917) 388-3627,"11 Mott St, New York, NY 10013",$$,4.0,1137,chinese
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,dinner,(718) 969-6800,"191 Grand St, Brooklyn, NY 11211",$$,4.0,522,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,dinner,(646) 861-1910,"334 W 46th St, New York, NY 10036",$$,4.0,1559,chinese
vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,dinner,(718) 610-2000,"20 Skillman Ave, Brooklyn, NY 11211",$$,4.0,374,chinese
mIbmzqQ473BUF8cngXXs_Q,Joy Love Club,dinner,(917) 388-3198,"232 8th Ave, New York, NY 10011",,4.5,103,chinese
cOtB9fWWLrbaBebZDjJquQ,DunHuang Miss Noodles,dinner,(718) 789-3530,"531 Myrtle Ave, Brooklyn, NY 11205",,4.0,82,chinese
aWkekCYI9zNA6xDwYEtYpg,Wuish Kitchen & Bar,dinner,(212) 273-9296,"6 Platt St, New York, NY 10038",$$$,4.0,64,chinese
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,dinner,(646) 928-0522,"258 W 109th St, New York, NY 10025",$$,4.0,168,chinese
