ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
vZevXSC1w27dEvXc2EHCEg,Good Thanks Cafe,breakfast,(646) 370-4426,"131A Orchard St, New York, NY 10002",$$,4.5,337,indian
-2UtjTxrt1Xzd-HPsLJ7mA,Butler,breakfast,,"40 Water St, Brooklyn, NY 11201",$$,4.0,169,indian
j1S3NUrkB3BVT49n_e76NQ,Best Bagel & Coffee,breakfast,(212) 564-4409,"225 W 35th St, New York, NY 10001",$,4.5,4159,indian
nU4XBdvxDABXqZ6CnB8Dig,Clinton Street Baking Company,breakfast,(646) 602-6263,"4 Clinton St, New York, NY 10002",$$,4.0,5583,indian
dwNmZYx74kAjTsk1hTVtjw,Maman,breakfast,(646) 863-2146,"114 W 41st St, New York, NY 10036",,4.5,45,indian
VrCCr45dhN-RRM107iptdg,Russ & Daughters,breakfast,(212) 475-4880,"179 E Houston St, New York, NY 10002",$$,4.5,2588,indian
Zc7Jbuwe3XO-EaVXIh_TYQ,Banter,breakfast,,"169 Sullivan St, New York, NY 10012",$$,4.5,602,indian
GlTdgd8780RNXLvz8bTmFg,Egg Shop,breakfast,(646) 666-0810,"151 Elizabeth St, New York, NY 10012",$$,4.0,1212,indian
GLf8_rOnkszkGmPAiMzO9Q,Bread & Spread,breakfast,(718) 625-2220,"151 Front St, Dumbo, NY 11201",$$,4.5,193,indian
rQpO1Eie_zmeAOQ9s-T0sQ,Hole In The Wall,breakfast,(212) 602-9991,"15 Cliff St, New York, NY 10038",$$,4.0,715,indian
v9bbNVQUA0OJzJKAcn_r4w,Hole In The Wall,breakfast,(929) 295-8361,"292 Bedford Ave, Brooklyn, NY 11249",$$,4.5,121,indian
t4M1VX4n34eEgUWMJ7cgKw,Daily Provisions,breakfast,(212) 488-1505,"103 E 19th St, New York, NY 10003",$$,4.5,523,indian
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,breakfast,(212) 367-1979,"35 W 13th St, New York, NY 10011",$$,4.5,1596,indian
9AXTJkwXdWaJaQkCjpj6mA,Sunday in Brooklyn,breakfast,(347) 222-6722,"348 Wythe Ave, Brooklyn, NY 11249",$$,4.0,1139,indian
KWC_KYP336tSFhAihd8plg,Bluestone Lane DUMBO Café,breakfast,(718) 374-6858,"55 Prospect St, Brooklyn, NY 11201",$$,4.0,240,indian
oZQV-z8zE8OY08pwN_2M9Q,Breakfast by Salt’s Cure,breakfast,,"27 1/2 Morton St, New York, NY 10014",,4.5,45,indian
zX8IF7oCbw1HrNaPmOBy-g,FERNS,breakfast,(646) 998-5034,"166 1st Ave, New York, NY 10009",$$,4.5,169,indian
pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,breakfast,(212) 924-2824,"286 8th Ave, New York, NY 10001",$,4.5,1745,indian
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,breakfast,(212) 510-8550,"226 Lafayette St, New York, NY 10012",$$,4.0,2213,indian
Felr31BySdIEOFl-U6AAUg,Clinton St. Baking Company,breakfast,(917) 810-4855,"55 Water St, Time Out Market, Brooklyn, NY 11201",$$,3.5,90,indian
x8slUOJxMX2EJ0YUU0rrSg,Banter,breakfast,,"643 Hudson St, New York, NY 10014",$$,4.5,120,indian
_G6jn55Mcv_pS1QpUYaZBw,Bluebird Café,breakfast,(929) 297-0001,"10 Columbus Cir, New York, NY 10019",,5.0,2,indian
S-WdvEU1X7J33whXWk1zmw,MUD,breakfast,(212) 228-9074,"307 E 9th St, New York, NY 10003",$$,4.0,1303,indian
DE0ROwygh-86i4s-WLp8wQ,Maman,breakfast,(212) 226-0700,"239 Centre St, New York, NY 10013",$$,4.0,687,indian
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,breakfast,(646) 850-6140,"65 Bayard St, New York, NY 10013",$,4.0,579,indian
foO2N-TrdPBO-dFn6M35TA,Brooklyn Bagel & Coffee Company,breakfast,(212) 477-3070,"63 E 8th St, New York, NY 10003",$,4.5,215,indian
1fDtQij01Mk92ZTGn6WHjg,The Little Sweet Cafe,breakfast,(718) 858-8998,"77B Hoyt St, Boerum Hill, NY 11201",$$,4.5,170,indian
xTnivXEdEtXrnhp-z4JGvg,La Parisienne,breakfast,(646) 756-4911,"9 Maiden Ln, New York, NY 10038",$$,4.5,747,indian
Tp3-DL6wF8mETTiUDXzO3A,Kam Boat Bakery & Cafe,breakfast,(212) 274-1822,"111 Bowery St, New York, NY 10002",$,4.5,164,indian
0tJEDmeNMLueSGLNTF0JFg,Angelina Bakery,breakfast,(212) 687-7100,"575 8th Ave, New York, NY 10018",$$,4.5,436,indian
zV1_EFMN4VY7Rxpv7P-ajg,Sunflower - Gramercy,breakfast,(917) 262-0804,"335 3rd Ave, New York, NY 10010",$$,4.5,283,indian
gjJiJ5yHqiEe3sFn_v-5JA,C&B,breakfast,(212) 674-2985,"178 E 7th St, New York, NY 10009",$$,4.5,260,indian
N5UY113nNpeKdLPv0cbMjQ,The Wild Son Lunch Counter,breakfast,,"130 First Ave, New York, NY 10009",$$,4.5,574,indian
nOCjslrdcKBQQYgD5qUs9Q,Kam Hing Coffee Shop,breakfast,(646) 552-7867,"118 Baxter St, New York, NY 10013",$,4.5,811,indian
XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,breakfast,(718) 797-5026,"85 Water St, Brooklyn, NY 11201",$$,4.0,392,indian
S9T8kG8xTPaQ1PxLE_VdYg,Devoción,breakfast,(718) 285-6180,"25 E 20th St, New York, NY 10003",$,4.0,155,indian
ybAfKElsgVcm60sS-39zyA,Clark's Restaurant,breakfast,(718) 855-5484,"80 Clark St, Brooklyn, NY 11201",$$,4.0,482,indian
U6Je0ZR02-YfVvoVo5jhmw,Bloom Cafe,breakfast,(929) 308-2863,"1203 Bay St, Staten Island, NY 10305",,4.5,45,indian
pjoUbRK5kKkXKHuAsvDkjQ,Egg Shop,breakfast,(646) 787-7502,"138 N 8th St, Brooklyn, NY 11249",$$,4.0,287,indian
Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,breakfast,,"82 Washington Ave, Brooklyn, NY 11205",$$,4.5,50,indian
L7_MTRZyYp_i-cnH2CU4zQ,Dudley's,breakfast,(212) 925-7355,"85 Orchard St, New York, NY 10002",$$,4.0,925,indian
sCNZGN2Zh1T5hht728hV5Q,Ursula BK,breakfast,,"724 Sterling Pl, Brooklyn, NY 11216",$$,4.5,98,indian
r2JVKalbucGf2nryywuL2w,Kopitiam,breakfast,(646) 609-3785,"151 E Broadway, New York, NY 10002",$$,4.0,888,indian
-vfftvs-9Vq_fMv3qAcaTw,Sippy Cafe,breakfast,,"200 Franklin St, Brooklyn, NY 11222",,5.0,27,indian
c3eMI4_o4dPDDhPV_ibBYQ,Ess-a-Bagel,breakfast,(212) 980-1010,"831 3rd Ave, New York, NY 10022",$,4.0,4117,indian
uoT2_Wrt1noD6kZOID7tUg,Jane Restaurant,breakfast,(212) 254-7000,"100 W Houston St, New York, NY 10012",$$,4.0,3420,indian
SWRz34fmNEDPcrngJMMo7Q,Butler,breakfast,,"95 S 5th St, Brooklyn, NY 11249",$$,4.5,140,indian
VdAVjghEq_Zl-DDte0mjrw,ACRE,breakfast,(718) 954-9074,"64 Meserole Ave, Brooklyn, NY 11222",$$,4.5,72,indian
YpGxtJy9ErnjfGG6DXy5uA,Sweatshop Coffee,breakfast,(917) 960-7232,"232 Metropolitan Ave, Brooklyn, NY 11211",$$,4.5,371,indian
MauzeeZM7S-wUk_G98Ybrg,Mei Lai Wah Bakery,breakfast,(212) 966-7866,"64 Bayard St, New York, NY 10013",$,4.0,1406,indian
hyEyUk9GOwxlco3w-WU9gA,Butler,breakfast,,"101 N 8th St, Brooklyn, NY 11249",,4.5,12,indian
ykqXbitAmPGq1xXZoOLCxw,Suited,breakfast,,"45 John St, New York, NY 10038",$$,4.5,93,indian
JFrtwkpSPDM3IbXVzoAvcw,Textbook,breakfast,,"118 DeKalb Ave, Brooklyn, NY 11217",,4.5,12,indian
Ll9BIQhilhmpBaiKcRC6bg,Daily Provisions,breakfast,,"29 Bedford St, New York, NY 10014",,4.5,21,indian
1aD88qNRb08LGBkl84GQTA,Little Collins,breakfast,(212) 308-1969,"708 3rd Ave, New York, NY 10017",$$,4.5,1010,indian
Zabkjf2HIT-ZAPmgMF3Lvw,Jack's Wife Freda,breakfast,(646) 454-9045,"116 8th Ave, New York, NY 10011",$$,4.0,288,indian
m8UUM6DjMgXtH_qKzo9LBA,Golden Steamer,breakfast,(212) 226-1886,"143-A Mott St, New York, NY 10013",$,4.5,396,indian
pYjMy5ixIeeG1YLEt4bGDg,Win Son Bakery,breakfast,(917) 909-1725,"164 Graham Ave, Brooklyn, NY 11206",$$,4.0,265,indian
zi_TJRxi0WzADbbI6Jcz3A,Koneko,breakfast,(646) 370-5699,"26 Clinton St, New York, NY 10002",$$,4.5,330,indian
xQ445GaWVN5Aa3sFX9OoIg,Buvette,breakfast,(212) 255-3590,"42 Grove St, New York, NY 10014",$$,4.0,2018,indian
77Q8n_SSXjhN8m2ypqs0ew,Maman,breakfast,(646) 476-7660,"22 W 25th St, New York, NY 10010",$$,4.0,382,indian
jniZaiTDALOVQfNkg_S9gg,787 Coffee,breakfast,(646) 449-9200,"66 Pearl St, New York, NY 10004",,4.5,91,indian
VCqNjupCWZ5INzOcyBMJSg,The Grey Dog - Union Square,breakfast,(212) 966-1060,"90 University Pl, New York, NY 10003",$$,4.0,1153,indian
