ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,dinner,(212) 367-1979,"35 W 13th St, New York, NY 10011",$$,4.5,1596,italian
16ZnHpuaaBt92XWeJHCC5A,Olio e Più,dinner,(212) 243-6546,"3 Greenwich Ave, New York, NY 10014",$$,4.5,3665,italian
5CuYWr0-cE01HxlBu5Ka6g,Carne Mare,dinner,(212) 280-4600,"89 South St, Pier 17, New York, NY 10038",,4.5,123,italian
WG639VkTjmK5dzydd1BBJA,Rubirosa,dinner,(212) 965-0500,"235 Mulberry St, New York, NY 10012",$$,4.5,2783,italian
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,dinner,(646) 707-3997,"106 E 60th St, New York, NY 10022",,4.5,233,italian
EviCtput3aPEbHEVS4Ahuw,Felice Montague,dinner,(718) 475-9877,"84 Montague St, Brooklyn, NY 11201",,4.5,35,italian
qBGKigOGn_flCx1apxPzlA,Piccola Cucina Osteria,dinner,(646) 478-7488,"196 Spring St, New York City, NY 10012",$$,4.5,702,italian
-Gc5sTFxoXM3Tiv_dkSJZg,Cecconi's Dumbo,dinner,(718) 650-3900,"55 Water St, Brooklyn, NY 11201",$$$,3.5,984,italian
mlm40NxsVJUPnh3LTayaaw,Kimika,dinner,(212) 256-9280,"40 Kenmare St, New York, NY 10012",$$$,4.0,299,italian
nHMDOIX32dGbfpuNUwsLNQ,AlMar,dinner,(718) 855-5288,"111 Front St, Brooklyn, NY 11201",$$,4.0,479,italian
h37t9rA06Sr4EetJjKrfzw,Don Angie,dinner,(212) 889-8884,"103 Greenwich Ave, New York, NY 10014",$$$,4.5,597,italian
OwDRIugcA4LkUuTRqpJsog,Naked Dog,dinner,(929) 337-8096,"47 Java St, Brooklyn, NY 11222",$$,4.5,264,italian
q8myw-sQtrmn0w-tKSC5cA,Cucina Alba,dinner,(212) 759-8080,"515 W 18th St, New York, NY 10011",,4.0,14,italian
mPHPVJ2-8mOR-lFHafrc6w,Evelina,dinner,(929) 298-0209,"211 Dekalb Ave, Brooklyn, NY 11205",$$$,4.5,291,italian
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,dinner,(212) 255-5757,"228 W 10th St, New York, NY 10014",$$$,4.5,2151,italian
KogxM0x2p9auUyU4h4CAqQ,Cremini's - Aperitivo & Kitchen,dinner,(929) 305-2967,"521 Court St, Brooklyn, NY 11231",,5.0,55,italian
hSpZSqElyjHTfE4lQJ97Cg,Mareluna,dinner,(212) 510-7774,"137 Sullivan St, New York, NY 10012",,5.0,41,italian
6eqrk1wCQMww_ejze5gvsg,Forsythia,dinner,(646) 590-0609,"9 Stanton St, New York, NY 10002",$$$$,4.5,118,italian
zwOAiVT4pAmpNGXzj-t5MA,Lilia,dinner,(718) 576-3095,"567 Union Ave, Brooklyn, NY 11211",$$$,4.0,1048,italian
KXhxtA_JDkCrujeyXvqsgQ,Canto,dinner,(315) 257-5473,"117 Perry St, New York, NY 10014",,4.5,98,italian
qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,dinner,(347) 763-0899,"331 Henry St, Brooklyn, NY 11201",$$,5.0,189,italian
QQpQujXQGbZBK6BeAokzDA,Pomp & Circumstance Dining,dinner,(718) 387-4861,"577 Lorimer St, Williamsburg, NY 11211",$$,5.0,127,italian
4zw8vEJNc4mcHh2ARzj2gw,Osteria Brooklyn,dinner,(646) 750-9156,"458 Myrtle Ave, Brooklyn, NY 11205",$$$,4.5,145,italian
ePJlqiIhoVKIJW69IE53rg,Botte Brooklyn,dinner,,"327 Gold St, Brooklyn, NY 11201",,4.5,19,italian
5k_jwjhdFMPUNWhouGNzuA,Misi,dinner,(347) 566-3262,"329 Kent Ave, Brooklyn, NY 11249",$$$,4.0,514,italian
MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,dinner,(212) 226-1600,"186 Grand St, New York, NY 10013",$$,4.5,1288,italian
2_3W7NFFN3m4U_8ffgEuyQ,Cafe Spaghetti,dinner,,"126 Union St, Brooklyn, NY 11231",,4.5,41,italian
Sp-vnk-waTvKblG_88M4TA,Trapizzino,dinner,(212) 475-2555,"144 Orchard St, New York, NY 10002",$$,4.5,275,italian
Vs8kQ4R381y27AH018gLpg,Supper,dinner,(212) 477-7600,"156 E 2nd St, New York, NY 10009",$$,4.0,1437,italian
FXYsBqMu2q1dhJYQg_FfAA,Rosemary’s,dinner,(646) 868-5335,"350 1st Ave, New York, NY 10010",$$$,4.0,170,italian
HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,dinner,(212) 498-9696,"1133 Broadway, New York, NY 10010",$$,4.0,923,italian
k5fd-RSdG4IuXnnGSQ5oOw,San Marzano Pasta Fresca,dinner,(212) 777-3600,"117 Second Ave, New York, NY 10003",$$,4.0,1430,italian
f8ipr8Wdy1_wHhw7JgNqPQ,Da Claudio,dinner,(212) 285-2668,"21 Ann St, New York, NY 10038",$$,4.0,582,italian
2Nwmd7-1d1rI6lb9QSSYYA,A Pasta Bar,dinner,(646) 762-4056,"330 W Broadway, New York, NY 10013",$$$,4.0,437,italian
LkV96_buOU_n0br4SBO57w,Ci Siamo,dinner,(212) 219-6559,"440 West 33rd St, Ste 100, New York, NY 10001",$$$,4.5,170,italian
C9BjYm4WyoQFPQUHmBErDg,Bird Dog,dinner,(917) 261-4221,"525 Hudson St, New York, NY 10014",,4.5,103,italian
VmgvCsAP6vZ3DL1mw8ugWQ,Osteria Del Porto,dinner,(646) 590-6053,"212 Front St, New York, NY 10038",$$$,4.5,49,italian
ZFaIpks0AmQKdFvqYbj0QQ,Barbalu - Brooklyn,dinner,(347) 294-4287,"68 Bergen St, Brooklyn, NY 11201",,4.5,45,italian
v8G2Tik6eXhS63Es_4sveA,Bacàn,dinner,(718) 388-1999,"79 Grand St, Brooklyn, NY 11249",,4.0,25,italian
bW3mY-voyav37nU0uaLmNQ,Dante,dinner,(212) 982-5275,"79-81 Macdougal St, New York, NY 10012",$$,4.0,539,italian
V-FCEicobl5Su-R7EVJQNA,La Lanterna Di Vittorio,dinner,(917) 639-3236,"129 MacDougal St, New York, NY 10012",$$,4.0,1599,italian
a4WZUTKn90dOkeY38JHNjQ,Aurora,dinner,(718) 388-5100,"70 Grand St, Brooklyn, NY 11249",$$,4.0,774,italian
xxiV3-0t_gO1Ojo3xo73TQ,Vineapple Cafe,dinner,(347) 799-1035,"71 Pineapple St, Brooklyn, NY 11201",$$,4.5,113,italian
_N92SH1Zi-Hbxn_bNHFz0Q,Noodle Pudding,dinner,(718) 625-3737,"38 Henry St, Brooklyn, NY 11201",$$,4.0,602,italian
hpRrYBbKUqv8ewFKDjbjoA,Gersi,dinner,(347) 889-5077,"316 Court St, Brooklyn, NY 11231",$$,4.5,333,italian
kQuTJxm0KAX1AsS46vhC_g,Barbuto,dinner,(212) 924-9700,"113 Horatio St, New York, NY 10014",,4.0,60,italian
Zp-K3ztVTzR-LrWwl_CBgA,La Pecora Bianca,dinner,(212) 924-4040,"20 W 40th St, New York, NY 10018",,4.0,125,italian
twHJyFgUSd7wzioKQjE7Jw,Galli,dinner,(212) 966-9288,"45 Mercer St, New York, NY 10013",$$,4.0,1032,italian
