ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
VdAVjghEq_Zl-DDte0mjrw,ACRE,lunch,(718) 954-9074,"64 Meserole Ave, Brooklyn, NY 11222",$$,4.5,72,japanese
CicbZtEYbmJCGEpo8Y7Iwg,Boxed To-Go,lunch,(646) 596-8180,"15 St Marks Pl, New York, NY 10003",,4.5,25,japanese
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,lunch,(212) 228-1324,"342 E 6th St, New York, NY 10003",$$,4.5,1396,japanese
qEe7nIhPfEL6L0-VYhWRrA,Raku,lunch,(212) 989-4797,"48 Macdougal St, New York, NY 10012",$$,4.5,738,japanese
sCx8tslal3pMurNyGFVjMQ,Evil Katsu,lunch,(646) 370-3435,"435 East 9th, New York, NY 10009",$$,4.5,85,japanese
9QK3vhI04Q8ylqk49C3JcQ,Rule of Thirds,lunch,(347) 334-6684,"171 Banker St, Brooklyn, NY 11222",,4.0,339,japanese
bokNBgAa9rmMMO8dkZVR1w,Rice & Miso,lunch,(929) 279-3488,"134 Nevins St, Brooklyn, NY 11217",$$,4.5,96,japanese
qVlDLz8Ri-ThAFJgYHuQ9A,Omusubi Gonbei,lunch,(917) 472-7168,"370 Lexington Ave, New York, NY 10017",$,4.5,93,japanese
uXsYr76zioJq7jjOKRwQog,Shinbashi 72,lunch,(212) 510-7799,"218 W 72nd St, New York, NY 10023",,5.0,76,japanese
ipAsHykRvgJzpx5hD8vTJw,Tokuyamatcha & Onigirazu Bar,lunch,(212) 388-1276,"627 E 6th St, New York, NY 10009",$,4.5,66,japanese
axqp3pGJXnTLgq2QrPyDyQ,Benemon,lunch,(212) 614-3006,"108 E 4th St, New York, NY 10003",$$,4.5,675,japanese
7OMGEtFWT6sdd9TVuoGqJQ,Okonomi,lunch,(929) 295-0480,"150 Ainslie St, Brooklyn, NY 11211",$$,4.5,490,japanese
PwrYnl3j3YCGzILX_5UHpw,Davelle,lunch,(646) 988-1973,"102 Suffolk St, New York, NY 10002",$$,4.0,302,japanese
r6r-XK_wL02FQdAgaauTxg,Kame,lunch,(917) 391-8587,"330 8th Ave, New York, NY 10001",$$,4.5,637,japanese
7Q68kpPS6okcC8Kkw7g42A,Sushi Lab,lunch,(212) 432-0000,"132 W 47th St, New York, NY 10036",,4.0,446,japanese
pou1-d7PENs6AD4mnt9P4g,Sushi W,lunch,(917) 318-9739,"2673 Broadway, New York, NY 10025",,4.5,111,japanese
v8y7NLCC25KY_lSbcs3UPA,Maison Kintaro,lunch,(315) 230-4533,"401 W 24th St, New York, NY 10011",,4.5,26,japanese
j_uZXp1m6INK5F_vFqSYQA,AO Organic Japanese,lunch,,"1385 Broadway, New York, NY 10018",,5.0,2,japanese
jpUSESI6aJs0nYixt87QEA,Bedford Food Hall,lunch,(347) 844-9008,"172 Bedford Ave, Brooklyn, NY 11249",$$,4.5,32,japanese
TwxP5xU_xyzlf7SVzCnpuA,Proong Noodle Bar,lunch,(212) 475-1564,"347 1st Ave, New York, NY 10010",$$,4.5,189,japanese
TBp9gdS6xEbSQqffVZ7iag,KazuNori  | The Original Hand Roll Bar,lunch,(347) 594-5940,"15 W 28th St, New York, NY 10001",$$,4.5,1264,japanese
7rxg-tWPc1jK7Cikn5R86g,Hi-Collar,lunch,(212) 777-7018,"231 E 9th St, New York, NY 10003",$$,4.0,713,japanese
