ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
fMf4P22m65creknIICuaXA,Kuun,dinner,(917) 909-1466,"290 Livingston St, Brooklyn, NY 11217",,4.5,178,korean
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,dinner,,"424 E 9th St, New York, NY 10009",$$,4.5,1636,korean
xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,dinner,(646) 666-0947,"679 Greenwich St, New York, NY 10014",$$,4.5,825,korean
fNKYBpQJivICm0ORb3nb_Q,8282,dinner,(929) 837-0360,"84 Stanton St, New York, NY 10002",,4.5,102,korean
qY1o1MhoRyN84RRhUJtvpQ,Her Name Is Han,dinner,(212) 779-9990,"17 E 31st St, New York, NY 10016",$$,4.5,1603,korean
KiXm1maUAxSKhBG4KKiKlA,PALPAL,dinner,(646) 649-4131,"128 Madison Ave, New York, NY 10016",,4.5,67,korean
c_Kellz-oODKoNpcRbV24w,MONO+MONO,dinner,(347) 620-2431,"116 E 4th St, New York, NY 10003",$$,4.0,747,korean
tOqhvINBu3CYNnTQGmxO8g,BOM with the Wind,dinner,(347) 763-0145,"1 Greene Ave, Brooklyn, NY 11238",,4.5,34,korean
VvsZAnEwU4c8Xkyrzx05Nw,Anytime Kitchen ,dinner,(646) 669-7733,"23 W 32nd St, Fl 3, New York, NY 10001",$$,4.5,2347,korean
aZ_a78wVWnQnV6BdMwcFVA,YUBU,dinner,(646) 891-0116,"86 E 7th St, New York, NY 10003",$,4.5,241,korean
e5wK3I_THzF4Ce_OgoSCQw,Mokyo,dinner,,"109 St Marks Pl, New York, NY 10009",,4.5,262,korean
FizBsTIAJwNrImIG1mPDcg,Barn Joo,dinner,(646) 398-9663,"35 Union Sq W, New York, NY 10003",$$,4.0,1808,korean
vpkUUhs6dCnGeD-Vz0D29Q,Sam Sunny,dinner,(212) 837-1044,"517 2nd Ave, New York, NY 10016",,5.0,21,korean
