ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
JAL8di-znskAHDTrLIdhfg,For All Things Good,breakfast,,"343 Franklin Ave, Brooklyn, NY 11238",$$,4.5,41,mexican
PZKJirrvQt8VPSnMnOzlQw,For All Things Good,breakfast,(646) 238-2068,"314 Grand St, Brooklyn, NY 11211",,4.5,4,mexican
iAiQP9RjAxv395tpjb8IUA,Westside Coffee Shop,breakfast,(212) 334-0185,"323 Church St, New York, NY 10013",$,4.5,97,mexican
MTP9i2rqkZf1Tn8-ARTPNA,Guevara's,breakfast,,"39 Clifton Pl, Brooklyn, NY 11238",$$,4.5,118,mexican
w3sLNKUwi2VSKImizZv4vA,Court Street Grocers Lunch,breakfast,(718) 384-4218,"378 Metropolitan Ave, Brooklyn, NY 11211",,4.5,45,mexican
4pj4ol7lXiytDD-BTKe3kg,Las Santas,breakfast,(718) 222-5919,"572 Fulton St, Brooklyn, NY 11217",$$,4.5,282,mexican
bWi_lbhtLOo3VfiqYJewQQ,Breakfast Burritos El Donkey,breakfast,,"75 9th Ave, New York, NY 10011",$,4.5,28,mexican
kcywDOgRlBPLW3eTMUgxEw,Grand Canyon Restaurant,breakfast,(347) 889-6670,"143 Montague St, Brooklyn, NY 11201",$$,4.5,97,mexican
yCa3NOjGUKXBhkAeXpbQ5w,Terrace Restaurant and Bakery,breakfast,(929) 624-2646,"280 5th Ave, Brooklyn, NY 11215",$$,4.5,92,mexican
ruT2owRpzDFRyA3Zc2qN8w,Guevara's,breakfast,,"319 Kent Ave, New York, NY 11249",,4.5,14,mexican
1xYjdf59TWgcMgfdZyiVmg,A-N-E Cafe,breakfast,(917) 946-1635,"47 Market St, New York, NY 10002",,5.0,7,mexican
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,breakfast,(212) 625-2001,"17 Prince St, New York, NY 10012",$$,4.0,3264,mexican
6Ct7OeTRn4caY9g0swFBsw,La Contenta,breakfast,(212) 432-4180,"102 Norfolk St, New York, NY 10002",$$,4.5,862,mexican
f7g3GhoQs9nQVTJEL2p48Q,Gran Electrica,breakfast,(718) 852-2700,"5 Front St, Brooklyn, NY 11201",$$,3.5,520,mexican
yywIzZlBOAWHCeKqMcB7Gw,Factory Tamal,breakfast,(347) 659-7098,"63 E 4th St, New York, NY 10003",,4.5,16,mexican
i6vJ0FpWO2lLry9gL9sNLQ,Zaza Diner,breakfast,,"104 Greenwich St, New York, NY 10006",$$,4.0,38,mexican
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,breakfast,(212) 227-2802,"83 Baxter St, New York, NY 10013",$$,4.5,1668,mexican
Ai2mbsb0cYZoMWC3DAAP3Q,B'klyn Burro,breakfast,(718) 622-8776,"922 Fulton St, Brooklyn, NY 11238",$$,4.0,137,mexican
vsQjfOXS10MQ8_CZ3amhVQ,Downtown Bakery Cocina Mexicana,breakfast,(212) 254-1757,"69 1st Ave, New York, NY 10003",$,4.0,275,mexican
6wpEi-xn_ave2LASJd1oDg,Marathon Coffee,breakfast,,"1042 First Ave, New York, NY 10022",,5.0,3,mexican
H5cufvP4OBsR940J8tegXQ,Cafe Nube,breakfast,(347) 889-6660,"940 4th Ave, Brooklyn, NY 11232",,5.0,76,mexican
N90gLDq4XgqYanlRqaeNKg,Acapulco,breakfast,(718) 349-8429,"1116 Manhattan Ave, Ste 2-L, Brooklyn, NY 11222",$,4.0,292,mexican
jF9hIgD5MvZBXyKvztUtSA,GMC Temaxcal Deli & Grocery,breakfast,(718) 307-8100,"163 Park Ave, Brooklyn, NY 11205",$,4.5,55,mexican
QjMeljDv9TH5BWzsDfwLVw,Flor de Azalea Cafe,breakfast,(718) 777-0523,"902 34th Ave, Astoria, NY 11106",,4.5,59,mexican
8A7qOO6r1ZpZwVaYndA6-A,Electric Burrito,breakfast,(646) 870-0104,"81 St Marks Pl, New York, NY 10003",$$,4.5,114,mexican
Zk8UgB9MDoIHWFYgAxNlIQ,De Mole,breakfast,(347) 721-3399,"2 Hope St, Brooklyn, NY 11211",,4.5,217,mexican
PWFK0nvJ23Xkk_B4C5Q4Aw,Factory Tamal,breakfast,(917) 691-5524,"34 Ludlow St, New York, NY 10002",$,4.5,123,mexican
RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,breakfast,(212) 228-6710,"253 Broome St, New York, NY 10002",$$,4.0,1168,mexican
z_emTJ2d3kDEe8mz3w-KNw,Alta Calidad,breakfast,(718) 622-1111,"552 Vanderbilt Ave, Brooklyn, NY 11238",$$,4.0,248,mexican
_Xw0s3b-366Tz27GrrNLyQ,Mockingbird,breakfast,,"469 Rogers Ave, Brooklyn, NY 11225",,3.5,15,mexican
-7mvJpV-gmOCT0HFNOhMNA,The Brothers Cafe,breakfast,(718) 361-5556,"3949 43rd Ave, Sunnyside, NY 11104",$,4.5,118,mexican
L5eqJRy8Yx_4El6rUxWmBw,El Vez Burrito Bar,breakfast,(212) 233-2500,"259 Vesey St, New York, NY 10282",$$,4.0,153,mexican
keOMomcnyrJEQvFtfEYadg,Swell Dive,breakfast,(917) 652-4779,"1013 Bedford Ave, Brooklyn, NY 11205",$$,4.0,110,mexican
yeWnkvxZjzy--XfKq3y6lQ,King David Tacos,breakfast,(929) 367-8226,"611 Bergen St, Brooklyn, NY 11238",,3.5,27,mexican
tvqtAjAyc7dplVVwhw3VZQ,La Contenta Oeste,breakfast,(212) 533-2233,"78 W 11th St, New York, NY 10011",$$,4.0,297,mexican
VsqHs36uLxhqmjo60r1aJA,Habana To-Go,breakfast,(212) 625-2002,"229 Elizabeth St, New York, NY 10012",$,4.0,273,mexican
4LtYkIqywyns24DbE02a8g,Cherokee Deli,breakfast,(347) 678-3509,"1626 Broadway, Brooklyn, NY 11207",$,5.0,9,mexican
-fRgp3gv0-R6y9YOJX8ZVA,Warude,breakfast,(718) 684-4449,"385 Tompkins Ave, Brooklyn, NY 11216",$$,4.0,136,mexican
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,breakfast,(212) 574-4696,"229 W 43rd St, New York, NY 10036",$,4.5,2454,mexican
q1j4Xgq0_myV0hzgTZ2nkg,Evodio's Place,breakfast,(718) 857-2368,"222 Clinton Ave, New York, NY 11205",,4.5,3,mexican
ywQzvW5TT6hj1tbiwE4M9w,Mex Carrolls Diner,breakfast,(718) 852-1925,"192 Columbia St, Brooklyn, NY 11231",$$,4.0,42,mexican
8uuMkezIN1c8zGEWkaMRqg,Los Tacos No. 1,breakfast,,"136 Church St, New York, NY 10007",$$,4.5,336,mexican
kawmpvfSzhDAy9pk8n3MxQ,The Haab,breakfast,(718) 729-4838,"4722 48th Ave, Woodside, NY 11377",$$,4.0,197,mexican
BrGaRZBpKbr8-OhmXFg4sA,Uri’s Coffee,breakfast,(718) 576-8285,"303 East 83rd St, New York, NY 10028",,4.5,2,mexican
Y39SdfmS0Z_GepcFnFqlMA,Eva's x Cinco de Mayo,breakfast,(212) 725-1411,"113 E 31st St, New York, NY 10016",$$,4.0,263,mexican
zDoqJFvmKnjxBmhechlLFg,Cena Brooklyn,breakfast,(929) 337-6666,"601 Greenwood Ave, Brooklyn, NY 11218",$$,3.5,127,mexican
rbAxZRKdMoMxeonDTmooFg,El Vez,breakfast,(212) 233-2500,"259 Vesey St, New York, NY 10282",$$,3.5,754,mexican
DY2wlHlgC5eHITs-d5rT4w,Panchos,breakfast,(212) 316-5400,"964 Amsterdam Ave, New York, NY 10025",$,4.5,68,mexican
MOniswiiEz9mglCP49JM9w,Flip Sigi,breakfast,(833) 354-7744,"190 Academy St, Jersey City, NJ 07306",,4.0,42,mexican
9_CEU7Wmvmwlyvqr-PJD6w,Ofrenda,breakfast,(212) 924-2305,"113 7th Ave S, New York, NY 10014",$$,4.0,1056,mexican
RgE6FMNHKFvLkcXQ6JR9cQ,Pronto Cafe,breakfast,(347) 413-9300,"3105 Avenue H, Brooklyn, NY 11210",,4.5,34,mexican
nQbg75zU2xMjRZ964jR19w,Cafe De Olla  Antojitos y Chucherias,breakfast,(347) 527-2101,"38-07 Broadway, Astoria, NY 11103",,4.5,31,mexican
4EGq0GMAJwGIrfhVg4PxVw,Swick 2 Go,breakfast,(718) 786-6096,"3504 35th St, Astoria, NY 11106",$,4.0,43,mexican
tfdVLqy-D5k5HngCoAdGNA,Pop's Restaurant,breakfast,(718) 333-2880,"1511 Neptune Ave, Brooklyn, NY 11224",$$,4.5,6,mexican
mhrLDFTxUzW2koRAzjlt5g,Chavela's,breakfast,(718) 622-3100,"736 Franklin Ave, Brooklyn, NY 11238",$$,4.0,1234,mexican
j9a6xr78a6tPBblKvvBJew,The Cactus Shop,breakfast,(347) 749-8474,"231 Kent Ave, Brooklyn, NY 11249",$$,4.0,30,mexican
QZxipDxqeG3W407ZNv9vHA,787 Coffee,breakfast,(646) 590-4241,"319 E 14th St, New York, NY 10003",,4.5,13,mexican
SoD2H03vGI5BslMVglmJOg,Ollin Nyc,breakfast,(914) 485-7512,"2108 2nd Ave, New York, NY 10029",,4.5,7,mexican
rwr5mV9UfDu1IqpAvgfP8Q,Dulce Cultura,breakfast,(914) 829-8801,"4220 31st Ave, Astoria, NY 11103",$$,4.5,42,mexican
RGSjUKs-hNpCSafrFcU-VQ,La Flor,breakfast,(718) 426-8023,"53-02 Roosevelt Ave, Woodside, NY 11377",$$,4.5,260,mexican
UwZtUMsxS-mwWpeZnrO49g,Chinantla,breakfast,(718) 222-1719,"657 Myrtle Ave, Brooklyn, NY 11205",$,4.0,120,mexican
1vkYZbdwMpqteI8x_sS68g,Fast and Fresh Burrito Deli,breakfast,(718) 802-1661,"84 Hoyt St, Brooklyn, NY 11201",$,4.0,188,mexican
QlIVC8__DE4R6IRJrf-CVQ,Mi Tierra Restaurant,breakfast,(347) 442-0352,"732 Classon Ave, Brooklyn, NY 11238",$,4.5,59,mexican
OsnvNfvVnpjnFklon1s-vg,La Chula,breakfast,(646) 590-3975,"137 E 116th St, New York, NY 10029",$$,4.0,230,mexican
hYk1RkElIG5rWI4ywbi-BA,Laly's Restaurant,breakfast,(718) 433-9906,"75-19 Roosevelt Ave, Jackson Heights, NY 11372",$$,4.5,207,mexican
nrwOQSXoRXfAYhkdjiUk8g,Toro Loco,breakfast,(917) 262-0444,"15 Stone St, New York, NY 10004",$$,4.0,407,mexican
4tQLBze9RppzEIxpyo78Sw,Gabriela's Cocina De Mexico,breakfast,,"100 Pearl St, New York, NY 10004",,3.0,1,mexican
MT8a8H25oeQ6eATdffxWmA,Reyes Deli & Grocery,breakfast,(718) 369-3211,"532 4th Ave, Brooklyn, NY 11215",$,4.5,227,mexican
qjCl34rJ0zVUHaZ1irb8FA,Taqueria Ramirez,breakfast,,"94 Franklin St, Brooklyn, NY 11222",$$,4.5,82,mexican
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,breakfast,,"75 9th Ave, Chelsea Market, New York, NY 10011",$$,4.5,3533,mexican
pyMgfsfoPOZCpWijgW_Lxg,Best Damn Breakfast Burrito,breakfast,(718) 764-7175,"630 Flushing Ave, Brooklyn, NY 11206",,5.0,5,mexican
9ijkw9x8oSSSnsUo5uR4Xw,Taco Santana,breakfast,(718) 388-8761,"301 Keap St, Brooklyn, NY 11211",$,4.0,165,mexican
r2eXF4w9e8_V3RQTTPTfKw,Eastpoint,breakfast,(646) 882-0593,"25 Ave B, New York, NY 10009",$$,4.0,84,mexican
9ZTyAKZI0cpCbmTYZgNjAA,Santa Clarita,breakfast,(718) 292-9399,"237 Willis Ave, Bronx, NY 10454",$,4.5,24,mexican
CfOBb6NU2awo8xclJpKU3g,Chela Park Slope,breakfast,(718) 701-1891,"408 5th Ave, Brooklyn, NY 11215",$$,4.5,618,mexican
v4_89HfTm05NFTuukjsl_g,The Burrito Box,breakfast,(212) 489-6889,"885 9th Ave, New York, NY 10019",$$,4.0,938,mexican
1Ylu26XW3F6gSJWdFw6-8g,Great Burrito,breakfast,(212) 243-0022,"100 W 23rd St, New York, NY 10011",$,4.0,264,mexican
UlGSfUiVs4V5oH9C4AHD5w,Cielito Lindo Bistro,breakfast,(347) 425-1140,"665 Nostrand Ave, Brooklyn, NY 11216",,4.0,31,mexican
B6bEkY9sJ_GU2pD2Rwb4gg,El Mitote,breakfast,(212) 874-2929,"208 Columbus Ave, New York, NY 10023",$$,3.5,581,mexican
FkA9aoMhWO4XKFMTuTnl4Q,Atla,breakfast,(347) 662-3522,"372 Lafayette St, New York, NY 10012",$$$,3.5,353,mexican
NUdrJYB7GHRuwVVETSDIFQ,Top Quality,breakfast,(718) 786-8271,"10-29 44th Rd, Long Island City, NY 11101",$$,4.5,144,mexican
iJzOUDE0T8uDonhTKpqDCw,Plaza Ortega,breakfast,(347) 365-1086,"140 Stanhope St, Brooklyn, NY 11221",,5.0,14,mexican
RVO1OIv9NjEQEoJ-FKpPVQ,Evelia’s Tamales,breakfast,(718) 986-2574,"Roosevelt Ave & Junction Blvd, Corona, NY 11368",$,4.5,44,mexican
02QBPRcN0LYO3neX_oqx4Q,Gordo's Cantina,breakfast,(917) 947-9208,"140 St Nicholas Ave, Brooklyn, NY 11237",$$,4.0,292,mexican
n2xFYgwuo1-ToqNnCkvdtg,Burgerology Midtown,breakfast,(646) 386-0090,"320 W 36th St, New York, NY 10018",$$,4.0,62,mexican
BxnrBKdLwdaEXyq97uxgKg,Cascalote Latin Bistro,breakfast,(646) 351-6574,"2126 2nd Ave, New York, NY 10029",$$,4.5,382,mexican
IE2GLzjRVMSxqmvE_zlq2A,Don Pepe Tortas & Jugos,breakfast,(718) 435-3326,"3908 5th Ave, Brooklyn, NY 11232",$,4.0,107,mexican
JUQ1QYsbsWobgYiPn4zp7Q,Panchitas Place,breakfast,(917) 909-0404,"709 5th Ave, Brooklyn, NY 11215",$$,4.5,155,mexican
wu3w6IlUct9OvYmYXDMGJA,Huitlacoche Taqueria Restaurant,breakfast,(347) 987-3581,"778 Seneca Ave, Ridgewood, NY 11385",,5.0,7,mexican
9aJ1MVTthZw3QjqoG7mPjg,Rosie's,breakfast,(212) 335-0114,"29 E 2nd St, New York, NY 10003",$$,4.0,854,mexican
3kDlekYKGTPXqiLIUcC6Ng,Mama Lupita's Bistro,breakfast,(917) 909-0522,"904 4th Ave, Brooklyn, NY 11232",,5.0,36,mexican
zupIzmhdcH0U6vJQQxDBiQ,Bar Bruno,breakfast,(347) 763-0850,"520 Henry St, Brooklyn, NY 11231",$$,4.0,303,mexican
8WnHtvMdPWE66eSkUdbLhQ,Flip Sigi,breakfast,(833) 354-7744,"131 7th Ave S, New York, NY 10014",$$,4.0,919,mexican
-2KLOAWzJ-wbUSC40WR8EA,Allen Restaurant,breakfast,(718) 861-7564,"1201 Randall Ave, Bronx, NY 10474",$$,4.0,6,mexican
IpBG_nY_opO9Zy-xNBEQCg,La Chilaquería - New York,breakfast,(917) 388-3823,"139 W 28th St, New York, NY 10001",,5.0,4,mexican
elZNdu_9mNxPvanZ3xsf2g,I Love Guacamole,breakfast,(347) 335-0396,"647 5th Ave, Brooklyn, NY 11215",,5.0,10,mexican
SSDOkx5enfRH3nsniS_2jA,5ive Spice,breakfast,(718) 857-3483,"52 5th Ave, Brooklyn, NY 11217",$$,4.5,863,mexican
iuYUDoWjPcEYVo1Gz3_3uA,Mallenche Mexican Grill,breakfast,(347) 405-8977,"1621 Church Ave, Brooklyn, NY 11226",$,4.5,115,mexican
yl214H_cUd1intjVAeE1Mw,Casa Publica,breakfast,(718) 388-3555,"594 Union Ave, Brooklyn, NY 11211",$$$,4.0,157,mexican
529zJk9IcMZt4txd6ITTCA,Hungry Burrito,breakfast,(718) 387-1006,"510 Morgan Ave, Brooklyn, NY 11222",$,4.0,25,mexican
lOzgdc3RareiFMYfNTsBig,C-Xique Cafe,breakfast,(718) 439-0577,"4420 3rd Ave, Brooklyn, NY 11220",,4.5,9,mexican
MwyEUg5EXuqTf1mjKU08ng,Xolo,breakfast,(929) 298-0032,"29 Dunham Pl, Brooklyn, NY 11249",,4.5,15,mexican
bg5yn0vUzcp9SUGTKgx1dw,Tixi Empanadas,breakfast,(347) 984-6232,"125-101 E 28th, New York, NY 10016",,5.0,3,mexican
j7f8x_Vs_nXn92Z-Vbj57A,Man vs Fries,breakfast,,"53-02 11th St, Long Island City, NY 11101",,3.5,2,mexican
l-ELX4tgoaNucr33ZvdzbQ,El Santo Taqueria,breakfast,(718) 366-3138,"1053 Flushing Ave, Brooklyn, NY 11237",$$,4.0,83,mexican
pcQ9ld7xuX9EXTCAoakkbQ,Tacombi,breakfast,(917) 261-7136,"74 Broad St, New York, NY 10004",$$,4.0,113,mexican
4MHpSTFvsBOutamtEsezjQ,Jauja Mexican Kitchen,breakfast,(347) 365-9522,"695 Flatbush Ave, Brooklyn, NY 11225",,4.5,48,mexican
-d4NCP8B0sXUUcWFsddVbw,Border Burrito,breakfast,(718) 782-7728,"287 Bedford Ave, Brooklyn, NY 11211",,4.0,47,mexican
mfJaJSspapkcL2MIsNuUjw,Citrico,breakfast,(347) 955-4519,"681 Washington Ave, Brooklyn, NY 11238",$$,4.0,237,mexican
