ID,Name,Term,Phone,Address,Price,Rating,Number of Review,Cuisine
nU4XBdvxDABXqZ6CnB8Dig,Clinton Street Baking Company,breakfast,(646) 602-6263,"4 Clinton St, New York, NY 10002",$$,4.0,5583,middleeastern
-2UtjTxrt1Xzd-HPsLJ7mA,Butler,breakfast,,"40 Water St, Brooklyn, NY 11201",$$,4.0,168,middleeastern
vZevXSC1w27dEvXc2EHCEg,Good Thanks Cafe,breakfast,(646) 370-4426,"131A Orchard St, New York, NY 10002",$$,4.5,337,middleeastern
Zc7Jbuwe3XO-EaVXIh_TYQ,Banter,breakfast,,"169 Sullivan St, New York, NY 10012",$$,4.5,601,middleeastern
xMUZfoyzyJoTfZxrEZus4Q,Mom's Kitchen & Bar,breakfast,(646) 657-0080,"701 9th Ave, New York, NY 10019",$$,4.5,1430,middleeastern
zX8IF7oCbw1HrNaPmOBy-g,FERNS,breakfast,(646) 998-5034,"166 1st Ave, New York, NY 10009",$$,4.5,169,middleeastern
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,breakfast,(212) 510-8550,"226 Lafayette St, New York, NY 10012",$$,4.0,2212,middleeastern
VrCCr45dhN-RRM107iptdg,Russ & Daughters,breakfast,(212) 475-4880,"179 E Houston St, New York, NY 10002",$$,4.5,2588,middleeastern
9AXTJkwXdWaJaQkCjpj6mA,Sunday in Brooklyn,breakfast,(347) 222-6722,"348 Wythe Ave, Brooklyn, NY 11249",$$,4.0,1138,middleeastern
S-WdvEU1X7J33whXWk1zmw,MUD,breakfast,(212) 228-9074,"307 E 9th St, New York, NY 10003",$$,4.0,1303,middleeastern
dwNmZYx74kAjTsk1hTVtjw,Maman,breakfast,(646) 863-2146,"114 W 41st St, New York, NY 10036",,4.5,43,middleeastern
t4M1VX4n34eEgUWMJ7cgKw,Daily Provisions,breakfast,(212) 488-1505,"103 E 19th St, New York, NY 10003",$$,4.5,523,middleeastern
hdiuRS9sVZSMReZm4oV5SA,Da Andrea,breakfast,(212) 367-1979,"35 W 13th St, New York, NY 10011",$$,4.5,1596,middleeastern
Wv6jzavopKvQT7RqeXttKA,Le Petit Monstre,breakfast,,"82 Washington Ave, Brooklyn, NY 11205",$$,4.5,50,middleeastern
hNFe8WhCibrqT4sFcZmAgw,Kong Sihk Tong 港食堂,breakfast,(646) 850-6140,"65 Bayard St, New York, NY 10013",$,4.0,579,middleeastern
GlTdgd8780RNXLvz8bTmFg,Egg Shop,breakfast,(646) 666-0810,"151 Elizabeth St, New York, NY 10012",$$,4.0,1212,middleeastern
Felr31BySdIEOFl-U6AAUg,Clinton St. Baking Company,breakfast,(917) 810-4855,"55 Water St, Time Out Market, Brooklyn, NY 11201",$$,3.5,90,middleeastern
x8slUOJxMX2EJ0YUU0rrSg,Banter,breakfast,,"643 Hudson St, New York, NY 10014",$$,4.5,120,middleeastern
-vfftvs-9Vq_fMv3qAcaTw,Sippy Cafe,breakfast,,"200 Franklin St, Brooklyn, NY 11222",,5.0,27,middleeastern
L7_MTRZyYp_i-cnH2CU4zQ,Dudley's,breakfast,(212) 925-7355,"85 Orchard St, New York, NY 10002",$$,4.0,924,middleeastern
KWC_KYP336tSFhAihd8plg,Bluestone Lane DUMBO Café,breakfast,(718) 374-6858,"55 Prospect St, Brooklyn, NY 11201",$$,4.0,240,middleeastern
DE0ROwygh-86i4s-WLp8wQ,Maman,breakfast,(212) 226-0700,"239 Centre St, New York, NY 10013",$$,4.0,686,middleeastern
xTnivXEdEtXrnhp-z4JGvg,La Parisienne,breakfast,(646) 756-4911,"9 Maiden Ln, New York, NY 10038",$$,4.5,743,middleeastern
8bIXIStb1SVu1sXYfcMH5g,Ruby's Cafe,breakfast,(646) 998-4265,"198 E 11th St, New York, NY 10003",$$,4.5,288,middleeastern
gQf7WVw6YRBL8UkXC__BMQ,Sippy Cafe,breakfast,,"153 Remsen St, Brooklyn, NY 11201",,5.0,6,middleeastern
pb_ryc8FYHpUPV56eV2Eyg,Brooklyn Bagel & Coffee Company,breakfast,(212) 924-2824,"286 8th Ave, New York, NY 10001",$,4.5,1744,middleeastern
N5UY113nNpeKdLPv0cbMjQ,The Wild Son Lunch Counter,breakfast,,"130 First Ave, New York, NY 10009",$$,4.5,574,middleeastern
fuSjpC1qw3fLih5SYUoOvg,Jack's Wife Freda,breakfast,(718) 355-8280,"258 Wythe Ave, New York, NY 11249",,4.0,31,middleeastern
QEY6X80_WXLmCvpOxphzxA,Smør,breakfast,(646) 478-8391,"441 E 12th St, New York, NY 10009",,4.5,98,middleeastern
zV1_EFMN4VY7Rxpv7P-ajg,Sunflower - Gramercy,breakfast,(917) 262-0804,"335 3rd Ave, New York, NY 10010",$$,4.5,283,middleeastern
0tJEDmeNMLueSGLNTF0JFg,Angelina Bakery,breakfast,(212) 687-7100,"575 8th Ave, New York, NY 10018",$$,4.5,434,middleeastern
U6Je0ZR02-YfVvoVo5jhmw,Bloom Cafe,breakfast,(929) 308-2863,"1203 Bay St, Staten Island, NY 10305",,4.5,43,middleeastern
_G6jn55Mcv_pS1QpUYaZBw,Bluebird Café,breakfast,(929) 297-0001,"10 Columbus Cir, New York, NY 10019",,5.0,2,middleeastern
pjoUbRK5kKkXKHuAsvDkjQ,Egg Shop,breakfast,(646) 787-7502,"138 N 8th St, Brooklyn, NY 11249",$$,4.0,287,middleeastern
oZQV-z8zE8OY08pwN_2M9Q,Breakfast by Salt’s Cure,breakfast,,"27 1/2 Morton St, New York, NY 10014",,4.5,45,middleeastern
uoT2_Wrt1noD6kZOID7tUg,Jane Restaurant,breakfast,(212) 254-7000,"100 W Houston St, New York, NY 10012",$$,4.0,3420,middleeastern
Zabkjf2HIT-ZAPmgMF3Lvw,Jack's Wife Freda,breakfast,(646) 454-9045,"116 8th Ave, New York, NY 10011",$$,4.0,288,middleeastern
1fDtQij01Mk92ZTGn6WHjg,The Little Sweet Cafe,breakfast,(718) 858-8998,"77B Hoyt St, Boerum Hill, NY 11201",$$,4.5,170,middleeastern
r2JVKalbucGf2nryywuL2w,Kopitiam,breakfast,(646) 609-3785,"151 E Broadway, New York, NY 10002",$$,4.0,888,middleeastern
foO2N-TrdPBO-dFn6M35TA,Brooklyn Bagel & Coffee Company,breakfast,(212) 477-3070,"63 E 8th St, New York, NY 10003",$,4.5,215,middleeastern
Tp3-DL6wF8mETTiUDXzO3A,Kam Boat Bakery & Cafe,breakfast,(212) 274-1822,"111 Bowery St, New York, NY 10002",$,4.5,163,middleeastern
xQ445GaWVN5Aa3sFX9OoIg,Buvette,breakfast,(212) 255-3590,"42 Grove St, New York, NY 10014",$$,4.0,2017,middleeastern
gjJiJ5yHqiEe3sFn_v-5JA,C&B,breakfast,(212) 674-2985,"178 E 7th St, New York, NY 10009",$$,4.5,260,middleeastern
S9T8kG8xTPaQ1PxLE_VdYg,Devoción,breakfast,(718) 285-6180,"25 E 20th St, New York, NY 10003",$,4.0,155,middleeastern
nOCjslrdcKBQQYgD5qUs9Q,Kam Hing Coffee Shop,breakfast,(646) 552-7867,"118 Baxter St, New York, NY 10013",$,4.5,812,middleeastern
8F81LrdFm6P5kkFpsw0n0w,Sweet Chick,breakfast,(646) 657-0233,"178 Ludlow St, New York, NY 10002",$$,4.0,1839,middleeastern
XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,breakfast,(718) 797-5026,"85 Water St, Brooklyn, NY 11201",$$,4.0,392,middleeastern
77Q8n_SSXjhN8m2ypqs0ew,Maman,breakfast,(646) 476-7660,"22 W 25th St, New York, NY 10010",$$,4.0,382,middleeastern
33aXjbj8dFwwyoeZonhN2Q,Rosalu Diner,breakfast,(347) 725-4423,"274 Hall St, Brooklyn, NY 11205",,4.0,35,middleeastern
2P-nqWuFUARtzjde8NzQVg,John's Coffee Donut Shop,breakfast,(718) 638-0412,"481 Myrtle Ave, Brooklyn, NY 11205",$,4.0,82,middleeastern
_V9qSj1W3xIwtCLCpLcA5A,Bagel Pub,breakfast,,"350 7th Ave, New York, NY 10001",,4.5,23,middleeastern
MauzeeZM7S-wUk_G98Ybrg,Mei Lai Wah Bakery,breakfast,(212) 966-7866,"64 Bayard St, New York, NY 10013",$,4.0,1406,middleeastern
j_5TV9P6e5xP1SnpwLraHA,Locals BKNY,breakfast,(917) 941-4455,"332 Myrtle Ave, Brooklyn, NY 11205",,5.0,2,middleeastern
VdAVjghEq_Zl-DDte0mjrw,ACRE,breakfast,(718) 954-9074,"64 Meserole Ave, Brooklyn, NY 11222",$$,4.5,72,middleeastern
moaPtBNbQ5VNu2Z0ilCVGQ,Walter's,breakfast,(718) 488-7800,"166 DeKalb Ave, Brooklyn, NY 11217",$$,4.0,600,middleeastern
hyEyUk9GOwxlco3w-WU9gA,Butler,breakfast,,"101 N 8th St, Brooklyn, NY 11249",,4.5,12,middleeastern
RszJexNjHiS1As9cJ7eWpQ,Weekends,breakfast,(347) 987-3558,"155 S 4th St, Brooklyn, NY 11211",$,4.0,72,middleeastern
w4cFJhUpjGXqqWBd3BbY4w,Freemans,breakfast,(212) 420-0012,"Freeman Alley, New York, NY 10002",$$,4.0,2176,middleeastern
r1QcTb4XA1t1gmni8qMBLw,Liberty Bagels,breakfast,,"16 E 58th St, New York, NY 10022",$,4.0,81,middleeastern
q11TljTQd33XCWlVoPyRqg,The Osprey,breakfast,(347) 696-2505,"60 Furman St, Brooklyn, NY 11201",$$,4.0,277,middleeastern
Gy-0WM4CZp39vmjIr9MbDw,St. Jardim,breakfast,,"183 W 10th St, New York, NY 10014",,4.5,25,middleeastern
mv8dMMzzrzalso3sYCP_QA,CAFÉ LULUc,breakfast,(718) 625-3815,"214 Smith St, Brooklyn, NY 11201",$$,4.0,1576,middleeastern
JFrtwkpSPDM3IbXVzoAvcw,Textbook,breakfast,,"118 DeKalb Ave, Brooklyn, NY 11217",,4.5,12,middleeastern
